Fecha,Apertura,Maximo,Minimo,Cierre,Volumen,Capacidad de mercado
"Sep 13, 2018",6354.24,6535.41,6354.24,6517.31,4210910000,112530970182
"Sep 12, 2018",6317.01,6363.87,6265.09,6351.80,4064230000,109661521297
"Sep 11, 2018",6331.88,6398.92,6260.21,6321.20,3849910000,109119948884
"Sep 10, 2018",6301.57,6374.98,6292.76,6329.70,3714100000,109255603474
"Sep 09, 2018",6223.38,6446.26,6201.22,6300.86,3671890000,108747090915
"Sep 08, 2018",6460.17,6534.25,6197.52,6225.98,3835060000,107442122871
"Sep 07, 2018",6528.92,6555.29,6396.87,6467.07,4264680000,111590424587
"Sep 06, 2018",6755.14,6755.14,6404.72,6529.17,5523470000,112649565532
"Sep 05, 2018",7361.46,7388.43,6792.83,6792.83,5800460000,117185657641
"Sep 04, 2018",7263.00,7388.26,7255.44,7361.66,4273640000,126986882925
"Sep 03, 2018",7279.03,7317.94,7208.15,7260.06,4087760000,125222785390
"Sep 02, 2018",7189.58,7306.31,7132.16,7272.72,4329540000,125427780027
"Sep 01, 2018",7044.81,7242.29,7038.05,7193.25,4116050000,124044625438
"Aug 31, 2018",6973.97,7057.17,6920.16,7037.58,4495650000,121346613238
"Aug 30, 2018",7043.76,7072.69,6834.69,6978.23,4463250000,120309828156
"Aug 29, 2018",7091.71,7113.30,6970.82,7047.16,4145880000,121484666374
"Aug 28, 2018",6891.08,7109.56,6882.34,7096.28,4659940000,122319195736
"Aug 27, 2018",6710.80,6884.64,6689.71,6884.64,4019000000,118657885712
"Aug 26, 2018",6754.64,6774.75,6620.75,6707.26,3295500000,115585205491
"Aug 25, 2018",6719.95,6789.63,6700.96,6763.19,3312600000,116534497933
"Aug 24, 2018",6551.52,6719.96,6498.64,6719.96,4097820000,115778358839
"Aug 23, 2018",6371.34,6546.54,6371.34,6534.88,3426180000,112577436411
"Aug 22, 2018",6486.25,6816.79,6310.11,6376.71,4668110000,109840902181
"Aug 21, 2018",6301.07,6500.87,6298.24,6488.76,3377180000,111758100192
"Aug 20, 2018",6500.51,6536.92,6297.93,6308.53,3665100000,108642191682
"Aug 19, 2018",6422.57,6537.98,6361.55,6506.07,3311170000,112031838393
"Aug 18, 2018",6583.43,6617.35,6353.73,6423.76,3984520000,110603014928
"Aug 17, 2018",6340.91,6582.50,6324.97,6580.63,4992990000,113290724406
"Aug 16, 2018",6294.23,6473.50,6276.41,6334.73,4328420000,109045250379
"Aug 15, 2018",6221.42,6588.49,6221.42,6308.52,4895450000,108581773101
"Aug 14, 2018",6287.66,6287.94,5971.05,6199.71,5301700000,106696389129
"Aug 13, 2018",6341.36,6537.05,6225.72,6297.57,4083980000,108369686635
"Aug 12, 2018",6283.65,6409.85,6237.50,6322.69,5665250000,108790259014
"Aug 11, 2018",6185.79,6455.74,6109.03,6295.73,4047850000,108314257212
"Aug 10, 2018",6571.42,6591.26,6124.52,6184.71,4528680000,106390927598
"Aug 09, 2018",6305.56,6625.73,6249.07,6568.23,4267040000,112973963230
"Aug 08, 2018",6746.85,6746.85,6226.22,6305.80,5064430000,108448409560
"Aug 07, 2018",6958.32,7146.56,6748.24,6753.12,4682800000,116128339800
"Aug 06, 2018",7062.94,7166.55,6890.54,6951.80,3925900000,119531508535
"Aug 05, 2018",7031.08,7102.77,6940.70,7068.48,3679110000,121526079384
"Aug 04, 2018",7438.67,7497.49,6984.07,7032.85,4268390000,120899698889
"Aug 03, 2018",7562.14,7562.14,7328.65,7434.39,4627150000,127785826655
"Aug 02, 2018",7634.19,7712.77,7523.44,7567.15,4214110000,130052066760
"Aug 01, 2018",7769.04,7769.04,7504.95,7624.91,4797620000,131030166771
"Jul 31, 2018",8181.20,8181.53,7696.93,7780.44,5287530000,133688476220
"Jul 30, 2018",8221.58,8235.50,7917.50,8180.48,5551400000,140547190784
"Jul 29, 2018",8205.82,8272.26,8141.18,8218.46,4107190016,141185844808
"Jul 28, 2018",8169.06,8222.85,8110.77,8192.15,3988750080,140716560550
"Jul 27, 2018",7950.40,8262.66,7839.76,8165.01,5195879936,140235573607
"Jul 26, 2018",8176.85,8290.33,7878.71,7951.58,4899089920,136553079708
"Jul 25, 2018",8379.66,8416.87,8086.36,8181.39,5845400064,140482950401
"Jul 24, 2018",7716.51,8424.27,7705.50,8424.27,7277689856,144634918474
"Jul 23, 2018",7414.71,7771.50,7409.10,7711.11,5132480000,132375368459
"Jul 22, 2018",7417.80,7537.95,7383.82,7418.49,3695460096,127336615249
"Jul 21, 2018",7352.72,7437.64,7262.41,7419.29,3726609920,127333468174
"Jul 20, 2018",7467.40,7594.67,7323.26,7354.13,4936869888,126202570251
"Jul 19, 2018",7378.20,7494.46,7295.46,7466.86,5111629824,128122730711
"Jul 18, 2018",7315.32,7534.99,7280.47,7370.78,6103410176,126458165406
"Jul 17, 2018",6739.65,7387.24,6684.17,7321.04,5961950208,125588963706
"Jul 16, 2018",6357.01,6741.75,6357.01,6741.75,4725799936,115638203962
"Jul 15, 2018",6272.70,6403.46,6256.51,6359.64,3285459968,109074579938
"Jul 14, 2018",6247.50,6298.19,6212.22,6276.12,2923670016,107631453835
"Jul 13, 2018",6235.03,6310.55,6192.24,6238.05,3805400064,106968440793
"Jul 12, 2018",6396.78,6397.10,6136.42,6228.81,3770170112,106798864820
"Jul 11, 2018",6330.77,6444.96,6330.47,6394.71,3644859904,109631867446
"Jul 10, 2018",6739.21,6767.74,6320.72,6329.95,4052430080,108511009626
"Jul 09, 2018",6775.08,6838.68,6724.34,6741.75,3718129920,115557889495
"Jul 08, 2018",6857.80,6885.91,6747.98,6773.88,3386210048,116097021279
"Jul 07, 2018",6668.71,6863.99,6579.24,6856.93,3961080064,117506606000
"Jul 06, 2018",6638.69,6700.94,6533.55,6673.50,4313959936,114350502582
"Jul 05, 2018",6599.71,6749.54,6546.65,6639.14,4999240192,113748385620
"Jul 04, 2018",6550.87,6771.92,6450.46,6597.55,4176689920,113024522547
"Jul 03, 2018",6596.66,6671.37,6447.75,6529.59,4672309760,111849428104
"Jul 02, 2018",6380.38,6683.86,6305.70,6614.18,4396930048,113288832522
"Jul 01, 2018",6411.68,6432.85,6289.29,6385.82,4788259840,109366024632
"Jun 30, 2018",6214.22,6465.51,6214.22,6404.00,4543860224,109665618200
"Jun 29, 2018",5898.13,6261.66,5835.75,6218.30,3966230016,106474707240
"Jun 28, 2018",6153.16,6170.41,5873.05,5903.44,3467800064,101072353482
"Jun 27, 2018",6084.40,6180.00,6052.85,6157.13,3296219904,105403600614
"Jun 26, 2018",6253.55,6290.16,6093.67,6093.67,3279759872,104307939200
"Jun 25, 2018",6171.97,6327.37,6119.68,6249.18,5500810240,106958465208
"Jun 24, 2018",6164.28,6223.78,5826.41,6173.23,4566909952,105646571668
"Jun 23, 2018",6090.10,6224.82,6071.81,6162.48,3431360000,105449276520
"Jun 22, 2018",6737.88,6747.08,6006.60,6083.69,5079810048,104088814967
"Jun 21, 2018",6780.09,6810.94,6715.17,6729.74,3529129984,115129700024
"Jun 20, 2018",6770.76,6821.56,6611.88,6776.55,3888640000,115916357344
"Jun 19, 2018",6742.39,6822.50,6709.92,6769.94,4057029888,115789919278
"Jun 18, 2018",6510.07,6781.14,6446.68,6734.82,4039200000,115176197712
"Jun 17, 2018",6545.53,6589.11,6499.27,6499.27,3104019968,111134754810
"Jun 16, 2018",6455.45,6592.49,6402.29,6550.16,3194170112,111992015616
"Jun 15, 2018",6674.08,6681.08,6433.87,6456.58,3955389952,110378702283
"Jun 14, 2018",6342.75,6707.14,6334.46,6675.35,5138710016,114106009748
"Jun 13, 2018",6596.88,6631.66,6285.63,6349.90,5052349952,108530585830
"Jun 12, 2018",6905.82,6907.96,6542.08,6582.36,4654380032,112491874164
"Jun 11, 2018",6799.29,6910.18,6706.63,6906.92,4745269760,118025877189
"Jun 10, 2018",7499.55,7499.55,6709.07,6786.02,5804839936,115948312827
"Jun 09, 2018",7632.52,7683.58,7531.98,7531.98,3845220096,128682085689
"Jun 08, 2018",7685.14,7698.19,7558.40,7624.92,4227579904,130256218613
"Jun 07, 2018",7650.82,7741.27,7650.82,7678.24,4485799936,131153169176
"Jun 06, 2018",7625.97,7680.43,7502.01,7653.98,4692259840,130725095161
"Jun 05, 2018",7500.90,7643.23,7397.00,7633.76,4961739776,130365918088
"Jun 04, 2018",7722.53,7753.82,7474.04,7514.47,4993169920,128312205314
"Jun 03, 2018",7632.09,7754.89,7613.04,7720.25,4851760128,131808021256
"Jun 02, 2018",7536.72,7695.83,7497.26,7643.45,4939299840,130481526036
"Jun 01, 2018",7500.70,7604.73,7407.34,7541.45,4921460224,128725854692
"May 31, 2018",7406.15,7608.90,7361.13,7494.17,5127130112,127902999390
"May 30, 2018",7469.73,7573.77,7313.60,7406.52,4922540032,126391893474
"May 29, 2018",7129.46,7526.42,7090.68,7472.59,5662660096,127502651064
"May 28, 2018",7371.31,7419.05,7100.89,7135.99,5040600064,121747389422
"May 27, 2018",7362.08,7381.74,7270.96,7368.22,4056519936,125695017596
"May 26, 2018",7486.48,7595.16,7349.12,7355.88,4051539968,125469061263
"May 25, 2018",7592.30,7659.14,7392.65,7480.14,4867829760,127573690458
"May 24, 2018",7561.12,7738.60,7331.14,7587.34,6049220096,129385391552
"May 23, 2018",8037.08,8054.66,7507.88,7557.82,6491120128,128868479514
"May 22, 2018",8419.87,8423.25,8004.58,8041.78,5137010176,137104106176
"May 21, 2018",8522.33,8557.52,8365.12,8418.99,5154990080,143518943480
"May 20, 2018",8246.99,8562.41,8205.24,8513.25,5191059968,145109512565
"May 19, 2018",8255.73,8372.06,8183.35,8247.18,4712399872,140559162894
"May 18, 2018",8091.83,8274.12,7974.82,8250.97,5764190208,140607667610
"May 17, 2018",8370.05,8445.54,8054.12,8094.32,5862530048,137923772714
"May 16, 2018",8504.41,8508.43,8175.49,8368.83,6760220160,142587497878
"May 15, 2018",8705.19,8836.19,8456.45,8510.38,6705710080,144979744412
"May 14, 2018",8713.10,8881.12,8367.97,8716.79,7364149760,148480275422
"May 13, 2018",8515.49,8773.55,8395.12,8723.94,5866379776,148587777457
"May 12, 2018",8441.44,8664.86,8223.50,8504.89,6821380096,144841040789
"May 11, 2018",9052.96,9052.96,8394.46,8441.49,8488520192,143743802092
"May 10, 2018",9325.96,9396.04,9040.52,9043.94,6906699776,153988453198
"May 09, 2018",9223.73,9374.76,9031.62,9325.18,7226890240,158758858205
"May 08, 2018",9380.87,9462.75,9127.77,9234.82,7415869952,157202142973
"May 07, 2018",9645.67,9665.85,9231.53,9373.01,7394019840,159538115686
"May 06, 2018",9845.31,9940.14,9465.25,9654.80,7222280192,164316605278
"May 05, 2018",9700.28,9964.50,9695.12,9858.15,7651939840,167759953654
"May 04, 2018",9695.50,9779.20,9585.96,9700.76,8217829888,165062796742
"May 03, 2018",9233.97,9798.33,9188.15,9743.86,10207299584,165778380092
"May 02, 2018",9104.60,9256.52,9015.14,9235.92,7558159872,157119854754
"May 01, 2018",9251.47,9255.88,8891.05,9119.01,7713019904,155114132125
"Apr 30, 2018",9426.11,9477.14,9166.81,9240.55,8673920000,157163847314
"Apr 29, 2018",9346.41,9531.49,9193.71,9419.08,8853000192,160182287342
"Apr 28, 2018",8939.27,9412.09,8931.99,9348.48,7805479936,158963068374
"Apr 27, 2018",9290.63,9375.47,8987.05,8987.05,7566289920,152802874822
"Apr 26, 2018",8867.32,9281.51,8727.09,9281.51,8970559488,157793327246
"Apr 25, 2018",9701.03,9745.32,8799.84,8845.74,11083100160,150369282696
"Apr 24, 2018",8934.34,9732.61,8927.83,9697.50,10678800384,164833256250
"Apr 23, 2018",8794.39,8958.55,8788.81,8930.88,6925190144,151784994312
"Apr 22, 2018",8925.06,9001.64,8779.61,8802.46,6629899776,149585589886
"Apr 21, 2018",8848.79,8997.57,8652.15,8895.58,7548550144,151150137128
"Apr 20, 2018",8286.88,8880.23,8244.54,8845.83,8438110208,150287113368
"Apr 19, 2018",8159.27,8298.69,8138.78,8294.31,7063209984,140902801023
"Apr 18, 2018",7944.43,8197.80,7886.01,8163.42,6529909760,138661092884
"Apr 17, 2018",8071.66,8285.96,7881.72,7902.09,6900879872,134206623206
"Apr 16, 2018",8337.57,8371.15,7925.73,8058.67,5631309824,136849408643
"Apr 15, 2018",7999.33,8338.42,7999.33,8329.11,5244480000,141427138383
"Apr 14, 2018",7874.67,8140.71,7846.00,7986.24,5191430144,135589384440
"Apr 13, 2018",7901.09,8183.96,7758.93,7895.96,7764460032,134043001354
"Apr 12, 2018",6955.38,7899.23,6806.51,7889.25,8906250240,133912618634
"Apr 11, 2018",6843.47,6968.32,6817.59,6968.32,4641889792,118267198080
"Apr 10, 2018",6795.44,6872.41,6704.15,6834.76,4272750080,115978358964
"Apr 09, 2018",7044.32,7178.11,6661.99,6770.73,4894060032,114886335694
"Apr 08, 2018",6919.98,7111.56,6919.98,7023.52,3652499968,119162880482
"Apr 07, 2018",6630.51,7050.54,6630.51,6911.09,3976610048,117241368688
"Apr 06, 2018",6815.96,6857.49,6575.00,6636.32,3766810112,112565173568
"Apr 05, 2018",6848.65,6933.82,6644.80,6811.47,5639320064,115524404354
"Apr 04, 2018",7456.41,7469.88,6803.88,6853.84,4936000000,116229557118
"Apr 03, 2018",7102.26,7530.94,7072.49,7456.11,5499700224,126429245883
"Apr 02, 2018",6844.86,7135.47,6816.58,7083.80,4333440000,120101932910
"Apr 01, 2018",7003.06,7060.95,6526.87,6844.23,4532100096,116026809075
"Mar 31, 2018",6892.48,7207.85,6863.52,6973.53,4553269760,118204645927
"Mar 30, 2018",7171.45,7276.66,6683.93,6890.52,6289509888,116786562165
"Mar 29, 2018",7979.07,7994.33,7081.38,7165.70,6361229824,121436043045
"Mar 28, 2018",7836.83,8122.89,7809.17,7954.48,4935289856,134788265876
"Mar 27, 2018",8200.00,8232.78,7797.28,7833.04,5378250240,132717053150
"Mar 26, 2018",8498.47,8530.08,7921.43,8209.40,5921039872,139078211968
"Mar 25, 2018",8612.81,8682.01,8449.10,8495.78,4569880064,143914265310
"Mar 24, 2018",8901.95,8996.18,8665.70,8668.12,5664600064,146818882936
"Mar 23, 2018",8736.25,8879.62,8360.62,8879.62,5954120192,150383574951
"Mar 22, 2018",8939.44,9100.71,8564.90,8728.47,5530390016,147809220250
"Mar 21, 2018",8937.48,9177.37,8846.33,8929.28,6043129856,151193917440
"Mar 20, 2018",8619.67,9051.02,8389.89,8913.47,6361789952,150909503835
"Mar 19, 2018",8344.12,8675.87,8182.40,8630.65,6729110016,146107514353
"Mar 18, 2018",7890.52,8245.51,7397.99,8223.68,6639190016,139201713268
"Mar 17, 2018",8321.91,8346.53,7812.82,7916.88,4426149888,133993486925
"Mar 16, 2018",8322.91,8585.15,8005.31,8338.35,5289379840,141111773179
"Mar 15, 2018",8290.76,8428.35,7783.05,8300.86,6834429952,140460819364
"Mar 14, 2018",9214.65,9355.85,8068.59,8269.81,6438230016,139920843550
"Mar 13, 2018",9173.04,9470.38,8958.19,9194.85,5991139840,155555594312
"Mar 12, 2018",9602.93,9937.50,8956.43,9205.12,6457399808,155710928717
"Mar 11, 2018",8852.78,9711.89,8607.12,9578.63,6296370176,162009710243
"Mar 10, 2018",9350.59,9531.32,8828.47,8866.00,5386319872,149939797150
"Mar 09, 2018",9414.69,9466.35,8513.03,9337.55,8704190464,157898203939
"Mar 08, 2018",9951.44,10147.40,9335.87,9395.01,7186089984,158852238332
"Mar 07, 2018",10803.90,10929.50,9692.12,9965.57,8797910016,168479670395
"Mar 06, 2018",11500.10,11500.10,10694.30,10779.90,6832169984,182225316082
"Mar 05, 2018",11532.40,11704.10,11443.90,11573.30,6468539904,195614809925
"Mar 04, 2018",11497.40,11512.60,11136.10,11512.60,6084149760,194567395376
"Mar 03, 2018",11101.90,11528.20,11002.40,11489.70,6690570240,194159120569
"Mar 02, 2018",10977.40,11189.00,10850.10,11086.40,7620590080,187318996197
"Mar 01, 2018",10385.00,11052.30,10352.70,10951.00,7317279744,185009753075
"Feb 28, 2018",10687.20,11089.80,10393.10,10397.90,6936189952,175644310997
"Feb 27, 2018",10393.90,10878.50,10246.10,10725.60,6966179840,181158869820
"Feb 26, 2018",9669.43,10475.00,9501.73,10366.70,7287690240,175076064010
"Feb 25, 2018",9796.42,9923.22,9407.06,9664.73,5706939904,163204062358
"Feb 24, 2018",10287.70,10597.20,9546.97,9813.07,6917929984,165687799108
"Feb 23, 2018",9937.07,10487.30,9734.56,10301.10,7739500032,173909350860
"Feb 22, 2018",10660.40,11039.10,9939.09,10005.00,8040079872,168892273935
"Feb 21, 2018",11372.20,11418.50,10479.10,10690.40,9405339648,180442459820
"Feb 20, 2018",11231.80,11958.50,11231.80,11403.70,9926540288,192457815912
"Feb 19, 2018",10552.60,11273.80,10513.20,11225.30,7652089856,189426791571
"Feb 18, 2018",11123.40,11349.80,10326.00,10551.80,8744009728,178040648022
"Feb 17, 2018",10207.50,11139.50,10149.40,11112.70,8660880384,187482083882
"Feb 16, 2018",10135.70,10324.10,9824.82,10233.90,7296159744,172637061144
"Feb 15, 2018",9488.32,10234.80,9395.58,10166.40,9062540288,171477807437
"Feb 14, 2018",8599.92,9518.54,8599.92,9494.63,7909819904,160131558835
"Feb 13, 2018",8926.72,8958.47,8455.41,8598.31,5696719872,144995984203
"Feb 12, 2018",8141.43,8985.92,8141.43,8926.57,6256439808,150513128412
"Feb 11, 2018",8616.13,8616.13,7931.10,8129.97,6122189824,137064586975
"Feb 10, 2018",8720.08,9122.55,8295.47,8621.90,7780960256,145341842785
"Feb 09, 2018",8271.84,8736.98,7884.71,8736.98,6784820224,147266052809
"Feb 08, 2018",7637.86,8558.77,7637.86,8265.59,9346750464,139306699929
"Feb 07, 2018",7755.49,8509.11,7236.79,7621.30,9169280000,128435001186
"Feb 06, 2018",7051.75,7850.70,6048.26,7754.00,13999800320,130658094648
"Feb 05, 2018",8270.54,8364.84,6756.68,6955.27,9285289984,117184385122
"Feb 04, 2018",9175.70,9334.87,8031.22,8277.01,7073549824,139433682759
"Feb 03, 2018",8852.12,9430.75,8251.63,9174.91,7263790080,154540000411
"Feb 02, 2018",9142.28,9142.28,7796.49,8830.75,12726899712,148725283812
"Feb 01, 2018",10237.30,10288.80,8812.28,9170.54,9959400448,154428564694
"Jan 31, 2018",10108.20,10381.60,9777.42,10221.10,8041160192,172099559942
"Jan 30, 2018",11306.80,11307.20,10036.20,10106.30,8637859840,170151556678
"Jan 29, 2018",11755.50,11875.60,11179.20,11296.40,7107359744,190164444830
"Jan 28, 2018",11475.30,12040.30,11475.30,11786.30,8350360064,198389948175
"Jan 27, 2018",11174.90,11614.90,10989.20,11440.70,7583269888,192550550498
"Jan 26, 2018",11256.00,11656.70,10470.30,11171.40,9746199552,187995804677
"Jan 25, 2018",11421.70,11785.70,11057.40,11259.40,8873169920,189455303273
"Jan 24, 2018",10903.40,11501.40,10639.80,11359.40,9940989952,191115225673
"Jan 23, 2018",10944.50,11377.60,10129.70,10868.40,9660609536,182830257191
"Jan 22, 2018",11633.10,11966.40,10240.20,10931.40,10537400320,183866421285
"Jan 21, 2018",12889.20,12895.90,11288.20,11600.10,9935179776,195089460991
"Jan 20, 2018",11656.20,13103.00,11656.20,12899.20,11801700352,216907619830
"Jan 19, 2018",11429.80,11992.80,11172.10,11607.40,10740400128,195158837709
"Jan 18, 2018",11198.80,12107.30,10942.50,11474.90,15020399616,192907550324
"Jan 17, 2018",11431.10,11678.00,9402.29,11188.60,18830600192,188070430523
"Jan 16, 2018",13836.10,13843.10,10194.90,11490.50,18853799936,193121120762
"Jan 15, 2018",13767.30,14445.50,13641.70,13819.80,12750799872,232242775485
"Jan 14, 2018",14370.80,14511.80,13268.00,13772.00,11084099584,231413491364
"Jan 13, 2018",13952.40,14659.50,13952.40,14360.20,12763599872,241268592240
"Jan 12, 2018",13453.90,14229.90,13158.10,13980.60,12065699840,234865160377
"Jan 11, 2018",14968.20,15018.80,13105.90,13405.80,16534099968,225178724050
"Jan 10, 2018",14588.50,14973.30,13691.20,14973.30,18500800512,251472635522
"Jan 09, 2018",15123.70,15497.50,14424.00,14595.40,16659999744,245095808695
"Jan 08, 2018",16476.20,16537.90,14208.20,15170.10,18413899776,254715263101
"Jan 07, 2018",17527.30,17579.60,16087.70,16477.60,15866000384,276634797271
"Jan 06, 2018",17462.10,17712.40,16764.60,17527.00,18314600448,294217423675
"Jan 05, 2018",15477.20,17705.20,15202.80,17429.50,23840899072,292544135538
"Jan 04, 2018",15270.70,15739.70,14522.20,15599.20,21783199744,261795321110
"Jan 03, 2018",14978.20,15572.80,14844.50,15201.00,16871900160,255080562912
"Jan 02, 2018",13625.00,15444.60,13163.60,14982.10,16846600192,251377913955
"Jan 01, 2018",14112.20,14112.20,13154.70,13657.20,10291200000,229119155396
"Dec 31, 2017",12897.70,14377.40,12755.60,14156.40,12136299520,237465823980
"Dec 30, 2017",14681.90,14681.90,12350.10,12952.20,14452599808,217239803085
"Dec 29, 2017",14695.80,15279.00,14307.00,14656.20,13025500160,245793634125
"Dec 28, 2017",15864.10,15888.40,13937.30,14606.50,12336499712,244929825575
"Dec 27, 2017",16163.50,16930.90,15114.30,15838.50,12487600128,265559172050
"Dec 26, 2017",14036.60,16461.20,14028.90,16099.80,13454300160,269908107763
"Dec 25, 2017",13995.90,14593.00,13448.90,14026.60,10664699904,235126843805
"Dec 24, 2017",14608.20,14626.00,12747.70,13925.80,11572299776,233414163395
"Dec 23, 2017",13948.70,15603.20,13828.80,14699.20,13086000128,246349213910
"Dec 22, 2017",15898.00,15943.40,11833.00,13831.80,22197999616,231788283457
"Dec 21, 2017",16642.40,17567.70,15342.70,15802.90,16516599808,264788651530
"Dec 20, 2017",17760.30,17934.70,16077.70,16624.60,22149699584,278528964015
"Dec 19, 2017",19118.30,19177.80,17275.40,17776.70,16894499840,297801055828
"Dec 18, 2017",19106.40,19371.00,18355.90,19114.20,14839499776,320174318520
"Dec 17, 2017",19475.80,20089.00,18974.10,19140.80,13314599936,320576568850
"Dec 16, 2017",17760.30,19716.70,17515.30,19497.40,12740599808,326502485530
"Dec 15, 2017",16601.30,18154.10,16601.30,17706.90,14309999616,296482120238
"Dec 14, 2017",16384.60,17085.80,16185.90,16564.00,13777399808,277310347000
"Dec 13, 2017",17500.00,17653.10,16039.70,16408.20,12976900096,274663619978
"Dec 12, 2017",16919.80,17781.80,16571.60,17415.40,14603799552,291483935710
"Dec 11, 2017",15427.40,17513.90,15404.80,16936.80,12153900032,283439888520
"Dec 10, 2017",15168.40,15850.60,13226.60,15455.40,13433299968,258615393665
"Dec 09, 2017",16523.30,16783.00,13674.90,15178.20,13911300096,253946084745
"Dec 08, 2017",17802.90,18353.40,14336.90,16569.40,21135998976,277185764485
"Dec 07, 2017",14266.10,17899.70,14057.30,17899.70,17950699520,299405364249
"Dec 06, 2017",11923.40,14369.10,11923.40,14291.50,12656300032,239024437136
"Dec 05, 2017",11685.70,12032.00,11604.60,11916.70,6895260160,199278350420
"Dec 04, 2017",11315.40,11657.20,11081.80,11657.20,6132409856,194912755450
"Dec 03, 2017",11082.70,11858.70,10862.00,11323.20,6608309760,189302389920
"Dec 02, 2017",10978.30,11320.20,10905.10,11074.60,5138500096,185122039035
"Dec 01, 2017",10198.60,11046.70,9694.65,10975.60,6783119872,183444663767
"Nov 30, 2017",9906.79,10801.00,9202.05,10233.60,8310689792,171020085600
"Nov 29, 2017",10077.40,11517.40,9601.03,9888.61,11568799744,165233728795
"Nov 28, 2017",9823.43,10125.70,9736.30,10058.80,6348819968,168056012886
"Nov 27, 2017",9352.72,9818.35,9352.72,9818.35,5653320192,164019464090
"Nov 26, 2017",8789.04,9522.93,8775.59,9330.55,5475579904,155850742551
"Nov 25, 2017",8241.71,8790.92,8191.15,8790.92,4342060032,146820557006
"Nov 24, 2017",8074.02,8374.16,7940.93,8253.69,5058610176,137831976173
"Nov 23, 2017",8232.38,8267.40,8038.77,8038.77,4225179904,134227860479
"Nov 22, 2017",8077.95,8302.26,8075.47,8253.55,3633530112,137797862084
"Nov 21, 2017",8205.74,8348.66,7762.71,8071.26,4277609984,134739693480
"Nov 20, 2017",8039.07,8336.86,7949.36,8200.64,3488450048,136881802624
"Nov 19, 2017",7766.03,8101.91,7694.10,8036.49,3149319936,134124196206
